County District Number,Chapter 41 District,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
095901,ABERNATHY ISD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135969.00,45078.00,159033.00,677695.00,949265.00
180903,ADRIAN ISD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
015901,ALAMO HEIGHTS ISD,0.00,0.00,6040396.00,7800541.00,6858081.00,8019473.00,8233540.00,12252467.00,13992993.00,18011366.00,21397078.00,24053911.00,26765946.00,28040436.00,23457045.00,26877065.00,24412347.00,23468400.00,24259803.00,23179031.00,23666021.00
209901,ALBANY ISD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46784.00,28640.00,65112.00
184907,ALEDO ISD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1517992.00,3210409.00,843746.00,740207.00
043901,ALLEN ISD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,587663.00,318322.00,411310.00
126901,ALVARADO ISD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
093901,ANDERSON-SHIRO CISD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154523.00,1851565.00,1584310.00,1440682.00,1233043.00,1013698.00,373471.00,325597.00,0.00,0.00,0.00,0.00,0.00
002901,ANDREWS ISD,0.00,7984023.00,1874331.00,0.00,2434373.00,3390568.00,0.00,0.00,0.00,8214846.00,8115908.00,10107270.00,15139623.00,20101479.00,18498412.00,23369258.00,16541476.00,14740834.00,20270429.00,26005557.00,31778369.00
020902,ANGLETON ISD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20008.00,54275.00,0.00,0.00,0.00,0.00
004901,ARANSAS COUNTY ISD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,946221.00,2856943.00,4888042.00,6639488.00,9056075.00,5214328.00,5822986.00,6324785.00,5308740.00,4471576.00
