CDN,DISTRICT NAME,"2004-2005
ADA","2004-2005
WADA","2005-2006
ADA","2005-2006
WADA","2006-2007
ADA","2006-2007
WADA","2007-2008
ADA","2007-2008
WADA","2008-2009
ADA","2008-2009
WADA","2009-2010
ADA","2009-2010
WADA","2010-2011
ADA","2010-2011
WADA","2011-2012
ADA","2011-2012
WADA","2012-2013
ADA","2012-2013
WADA","2013-2014
ADA","2013-2014
WADA"," 2014-2015
ADA"," 2014-2015
WADA","2015-2016
ADA","2015-2016 
WADA"
057816,A W BROWN-FELLOWSHIP LEADERSHIP AC,711.384,1037.576946,849.091,1272.625118,923.753,1399.080555,991.948,1481.376412,1047.546,1598.849823,1132.506,1801.864,1161.198,1843.974,1269.548,1881.835,1443.74,2265.622,1657.226,2595.013,1799.313,2790.951,1818.267,2823.014
057829,A+ ACADEMY,830.974,1210.063834,878.711,1296.547828,896.752,1310.530505,865.948,1279.621471,896.359,1328.517655,1034.082,1604.299,962.554,1627.132,890.952,1381.939,932.231,1488.599,933.89,1526.442,910.002,1566.437,904.325,1547.156
109901,ABBOTT ISD,275.648,454.0584172,281.143,455.2725518,293.37,473.0719294,281.003,455.486,285.47,464.812,280.246,453.389,276.858,449.609,277.74,429.519,261.377,424.172,257.591,419.746,245.531,397.833,249.118,406.723
095901,ABERNATHY ISD,748.147,1198.568832,746.301,1197.405425,742.474,1176.615157,734.144,1168.44,724.983,1142.783,748.509,1165.416,733.421,1155.185,725.468,1072.267,709.075,1110.157,719.289,1128.75,733.095,1153.599,729.476,1154.734
221901,ABILENE ISD,15474.874,20976.63829,15327.086,20725.38367,15241.755,20605.04649,15023.382,20270.224,15062.071,20139.91,15401.597,20545.628,15575.806,20801.654,15678.337,20078.918,15619.865,19831.251,15759.743,20612.509,15778.073,20645.174,15480.758,20324.323
057814,ACADEMY FOR ACADEMIC EXCELLENCE,594.816,1046.989039,630.665,1081.955406,636.594,1141.588145,605.721,1094.381502,539.093,967.060057,535.241,1072.657,561.614,1094.11,549.736,1052.046,486.837,951.309,474.954,944.531,456.779,902.988,464.638,909.91
014901,ACADEMY ISD,870.554,1322.597415,903.828,1326.514865,944.711,1350.906546,982.934,1386.658,1039.199,1445.366,1016.825,1429.499,1051.62,1472.269,1078.156,1427.962,1120.033,1515.759,1209.022,1625.924,1282.523,1716.592,1346.341,1768.304
101810,ACADEMY OF ACCELERATED LEARNING IN,377.164,540.486137,464.444,663.3475877,429.776,640.1837282,360.988,567.8699851,444.477,668.4545583,396.382,655.281,411.964,689.4,512.585,779.692,543.104,880.628,546.563,905,620.171,1007.512,643.935,1052.784
123801,ACADEMY OF BEAUMONT,278.778,409.5510211,254.203,393.172944,252.39,382.3376993,210.961,336.6622322,162.982,266.6369795,,,,,,0,,,,,,,,
015816,ACADEMY OF CAREERS AND TECHNOLOGIE,145.198,228.880105,132.629,231.8850926,106.699,178.5157353,150.862,260.7485411,153.709,284.8845552,149.185,285.906,175.017,301.997,183.877,301.582,185.218,320.667,178.265,308.919,188.773,318.096,179.515,338.722
057810,ACADEMY OF DALLAS,380.726,550.9193715,363.897,533.8403985,440.436,643.0814978,386.814,589.6875596,408.029,605.602227,413.083,664.2,383.069,634.013,402.537,618.835,451.021,734.112,455.245,802.681,473.141,812.672,447.673,790.934
101849,ACCELERATED INTERMEDIATE ACADEMY,419.26,650.8900826,645.618,939.623005,490.128,803.6524708,589.399,876.8006907,444.917,725.295297,350.089,616.674,219.856,413.681,233.27,357.176,227.897,364.821,217.793,348.902,229.621,373.075,253.376,408.393
180903,ADRIAN ISD,128.634,285.0870167,124.558,288.1704848,119.763,280.5289487,104.71,284.874,116.741,282.827,121.545,282.758,126.971,280.683,117.564,261.926,124.999,262.909,117.265,289.76,107.467,291.254,117.866,288.422
057806,ADVANTAGE ACADEMY,400.796,548.4697992,613.474,815.7301069,1052.744,1421.188861,1351.147,1851.580017,1363.626,1928.463048,1410.265,2127.038,1342.772,2055.266,1581.924,2239.191,1825.067,2724.606,1528.731,2401.214,1523.987,2389.143,1679.674,2591.304
178901,AGUA DULCE ISD,313.775,524.9198372,325.503,542.6244917,337.281,553.9438701,325.245,541.62,344.613,563.561,333.413,548.543,338.024,563.371,343.186,535.539,355.383,578.386,355.369,583.076,370.399,603.577,352.472,596.473
