District Name
Abernathy ISD
Alamo Heights ISD
Allen ISD
Andrews ISD
Aransas County ISD
Argyle ISD
Austin ISD
Barbers Hill ISD
Beckville ISD
Blackwell CISD
Boerne ISD
Booker ISD
Borden County ISD
Brookeland ISD
Buena Vista ISD
Burton ISD
Bushland ISD
Caldwell ISD
Calhoun County ISD
Canadian ISD
Carthage ISD
Chireno ISD
College Station ISD
Comal ISD
Comstock ISD
Coppell ISD
Cotton Center ISD
Cotulla ISD
Crane ISD
Crockett County CCSD
Crowell ISD
Cuero ISD
Culberson County-Allamoore ISD
Dawson ISD (Dawson County)
Decatur ISD
Denver City ISD
Devers ISD
Dilley ISD
Eanes ISD
Eden CISD
Evadale ISD
Falls City ISD
Forestburg ISD
Fort Elliott CISD
Fort Stockton ISD
Franklin ISD
Frisco ISD
Galveston ISD
Gary ISD
Georgetown ISD
Glasscock Co. ISD
Glen Rose ISD
Godley ISD
Goose Creek ISD
Gordon ISD
Grady ISD
Graford ISD
Granbury ISD
Grapevine-Colleyville ISD
Greenwood ISD
Groesbeck ISD
Guthrie CSD
Higgins ISD
Highland ISD
Highland Park ISD (Amarillo)
Highland Park ISD (Dallas)
Hunt ISD
Ira ISD
Iraan Sheffield ISD
Jacksboro ISD
Jarrell ISD
Jayton-Girard ISD
Kelton ISD
Kenedy County Wide CSD
Kermit ISD
Kerrville ISD
La Grange ISD
La Porte ISD
Lake Travis ISD
Levelland ISD
Lewisville ISD
Lindsay ISD
Lingleville ISD
Llano ISD
Loop ISD
Lovejoy ISD
Malakoff ISD
Marathon ISD
Marble Falls ISD
McCamey ISD
McKinney ISD
McMullen County ISD
Miami ISD
Midway ISD (McLennan)
Monahans-Wickett-Pyote ISD
Moulton ISD
Muenster ISD
Northwest ISD
Palacios ISD
Palo Pinto ISD
Pawnee ISD
Pecos-Barstow-Toyah ISD
Pettus ISD
Plains ISD
Plano ISD
Pleasant Grove ISD
Plemons-Stinnett-Phillips CISD
Point Isabel ISD
Ponder ISD
Port Aransas ISD
Port Neches-Groves ISD
Post ISD
Prairie Valley ISD
Pringle-Morse CISD
Rankin ISD
Reagan County ISD
Robert Lee ISD
Rockwall ISD
Round Top-Carmine ISD
Sabine Pass ISD
Sands CISD
Schulenburg ISD
Seminole ISD
Sheldon ISD
Shiner ISD
Sivells Bend ISD
Snyder ISD
Spring Branch ISD
Spur ISD
Sterling City ISD
Sudan ISD
Sundown ISD
Sunnyvale ISD
Tatum ISD
Terrell County ISD
Texas City ISD
Three Rivers ISD
Tuloso-Midway ISD
Van Vleck ISD
West Orange-Cove CISD
Westbrook ISD
Westhoff ISD
Whiteface CISD
Wimberley ISD
Wink-Loving ISD
