SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT06R,DA0708DR06R,DADC406R,DA0GR06N,DAGC406R,DA311TA07R,DA311TR07R,DA311TW07R,DA311TM07R,DA311TC07R,DA311TS07R,DB311TA07R,DH311TA07R,DW311TA07R,DO311TA07R,DE311TA07R,DA0SU07R,DA0CT06R,DA0CC06R,DA0CS06R,DA0CA06R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Cayuga,001902,001 ANDERSON,07,RE,3,569,12,5,83,1,37.1,1,16,1,27,12,96.4,0,6.5,27,90.3,81,96,.,84,84,93,73,67,83,.,74,.,42.3,18.2,1025,.,96,51,2,4,5,54,14,22,59383,55960,45926,38731,13,6,11.1,35.1,12.3,12.7,13.8,6,4,90,0,79,12,0,0,6,3,523835,1.370000,5157091,8861,15,79,6,2159909,41,4841780,4419577,7594,56,8,6,11,19,2461397,4229,69,14,9,0,3,0,5,0
Elkhart,001903,001 ANDERSON,07,RE,3,1319,9,6,85,1,49.9,1,14,1,23,4,95.9,0,2.4,81,95.2,76,94,92,84,77,90,62,66,77,80,69,84,48.5,6.3,906,17.8,190,100,3,3,5,53,14,23,51916,57597,40712,38769,10,7,13.2,26,13,18.8,13.3,1,3,96,0,70,11,11,0,6,2,123573,1.370000,9476858,7324,65,30,6,993851,12,9157457,8655605,6689,58,8,4,9,21,5006997,3869,59,20,11,0,3,0,6,0
Frankston,001904,001 ANDERSON,07,RE,3,789,14,8,77,1,53.6,4,14,4,35,8,96.3,0,0,61,100,76,91,89,85,81,97,54,78,80,.,68,98,50,32,998,21.2,127,72,1,5,3,57,9,26,84200,57361,52089,39161,4,6.2,10.9,23.6,14.2,15.4,15.6,1,0,99,0,81,8,5,0,5,0,318868,1.388000,7184921,9015,37,56,8,1671038,27,7173730,6475854,8125,57,9,6,9,20,3688648,4628,66,12,13,0,3,1,4,0
Neches,001906,001 ANDERSON,07,RE,2,352,10,5,85,1,36.1,0,18,0,34,5,96.5,0,0,22,100,83,97,97,89,80,91,60,78,86,.,68,84,55.6,30,.,21.9,52,29,2,4,4,56,2,33,73500,52321,37353,38269,4,6.8,12,30.8,11,0.5,21.4,3,0,97,0,82,7,3,0,7,0,206763,1.370000,3034717,9224,54,40,6,660258,24,2798055,2641035,8027,52,8,7,14,20,1365252,4150,64,20,8,0,6,1,0,0
Palestine,001907,001 ANDERSON,07,AA,5,3405,29,31,39,1,65.1,10,10,9,28,4,95.1,1.9,11.2,187,83.6,62,84,88,71,64,86,44,56,78,87,55,94,50.9,25.3,1013,21.2,510,251,1,3,6,49,14,27,73953,59024,44266,37278,25,6.7,13.6,34.6,11.6,15.2,20.4,7,3,90,0,71,11,7,4,5,2,231856,1.486000,28238606,8374,40,47,13,4594429,20,25546069,23640731,7011,56,7,5,10,22,13248752,3929,52,17,16,3,5,1,4,2
Westwood,001908,001 ANDERSON,07,AA,4,1759,18,14,68,1,50.1,3,14,3,31,5,95.5,1.4,4.3,109,88,71,91,94,79,72,89,55,62,78,63,65,96,51.2,23.8,982,19.9,226,122,2,3,5,54,13,24,62444,55933,46713,38818,16,7.8,14.4,24.6,14,21.3,11.8,6,2,92,0,76,14,4,0,5,1,213558,1.225000,14501256,8106,44,42,15,5273002,49,12463627,12120187,6775,57,7,5,8,23,6902577,3858,47,34,7,1,2,4,4,1
Slocum,001909,001 ANDERSON,07,AA,2,402,1,5,94,0,59,1,17,1,32,9,97.1,0,7.7,22,84.6,83,95,94,93,80,98,.,83,82,.,79,96,37.5,33.3,1072,21,59,37,2,5,3,63,8,18,76194,52995,49203,39771,3,6.8,10.9,24.3,12.4,21.6,7.2,3,0,95,3,71,11,3,0,15,0,204745,1.180000,3523001,9057,54,39,8,1628416,58,3045165,2890092,7430,60,7,5,8,20,1746077,4489,60,15,17,0,5,0,3,0
Andrews,002901,002 ANDREWS,18,AA,7,2973,2,59,38,1,45.9,8,15,6,17,6,95.5,0.2,7.7,181,89.9,70,88,95,80,70,89,73,64,79,83,65,91,51.3,22,981,20.8,449,220,2,2,5,49,13,29,86172,77962,59873,49995,27,6.6,13.5,21.4,14.6,13.5,8.1,0,11,87,1,61,8,15,5,5,7,1016394,1.516000,31760426,10959,9,84,7,13503135,30,34698462,24408066,8422,55,8,4,14,19,13440076,4638,59,17,11,1,5,1,5,1
Pineywoods Community Acad,003801,003 ANGELINA,07,AA,1,263,24,10,65,2,55.1,0,13,0,0,0,95.5,0,.,0,.,68,90,96,74,58,.,42,67,79,.,57,73,.,.,.,.,35,18,3,3,13,52,0,30,70000,43488,27012,33973,11,7.4,14.3,52.4,6.8,20.4,11.4,0,0,100,0,91,4,5,0,0,0,0,0.000000,1648040,7491,77,12,11,301976,23,1409083,1408379,6402,53,10,7,15,15,743611,3380,77,11,13,0,0,0,0,0
Hudson,003902,003 ANGELINA,07,RE,5,2412,5,20,74,1,53.2,6,11,5,24,5,96.3,0,5.7,138,83.6,84,94,97,90,85,98,62,80,87,81,79,.,59.7,14.9,957,19.8,327,165,1,4,7,50,8,30,86773,60662,46690,40714,10,7.4,14.6,29.6,13.1,17.8,15.4,1,2,96,0,66,10,4,5,5,10,98837,1.407000,19289817,7941,64,27,10,6045949,33,19326705,16300272,6711,55,5,6,13,21,8933628,3678,63,14,11,2,4,0,3,3
