SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT09R,DA0708DR09R,DADC409R,DA0GR09N,DAGC409R,DA311TA10R,DA311TR10R,DA311TW10R,DA311TM10R,DA311TC10R,DA311TS10R,DB311TA10R,DH311TA10R,DW311TA10R,DO311TA10R,DE311TA10R,DACTA10R,DA0CT09R,DA0CC09R,DA0CS09R,DA0CA09R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Cayuga,001902,001 ANDERSON,07,RE,3,628,10,5,84,1,38.7,1,12,1,32,11,96.4,0,0,31,93.9,84,94,99,91,86,98,74,72,85,.,77,92,42.3,36.4,993,18.4,103,55,2,4,6,54,13,22,60166,62084,54048,42810,14,6.1,11.3,21.7,13.5,12.1,1.8,4,5,91,0,81,10,0,1,5,3,492844,1.040000,8275294,13931,33,46,21,1041269,15,8472273,7664278,12903,57,7,3,9,23,4391883,7394,45,42,6,0,2,0,4,0
Elkhart,001903,001 ANDERSON,07,RE,3,1354,7,7,85,1,49.4,1,9,1,25,4,95.7,0,2.5,78,92.6,78,94,96,85,82,93,51,71,81,56,72,87,58.2,18.8,956,20.8,205,110,2,2,5,53,15,23,63964,56469,42794,39923,8,6.6,12.4,21.8,13.7,16.3,9.6,1,3,96,0,73,10,9,0,6,2,173726,1.360000,11701943,8733,67,29,5,1065869,11,10304298,9825371,7332,60,6,4,11,19,5869336,4380,64,17,11,0,3,0,5,0
Frankston,001904,001 ANDERSON,07,RE,3,763,14,7,78,1,54.8,4,11,4,41,7,95.6,0,0,58,98.2,76,93,90,83,87,99,56,71,79,.,65,93,44,22.7,959,19.6,131,72,1,3,6,55,6,29,92995,62140,52981,41424,5,5.8,10.7,22.4,13.8,14,5.6,3,1,96,0,83,5,5,0,7,0,384871,1.139000,7533389,9912,46,47,7,196906,3,7799433,7256086,9547,57,7,5,10,21,4121230,5423,64,12,13,0,6,1,4,0
Neches,001906,001 ANDERSON,07,RE,2,376,9,10,81,1,44.1,1,14,1,42,8,96.3,0,0,31,97,79,93,95,86,85,89,60,80,81,.,66,71,50,9.1,816,18.9,52,30,2,4,4,58,4,29,83000,58350,41654,40273,8,7.2,12.5,43.3,9.1,0,16.1,3,0,93,3,87,3,0,0,9,1,248721,1.320000,3847386,9865,55,39,5,1402672,45,8067339,3283857,8420,53,7,6,13,21,1744037,4472,72,15,8,0,5,0,0,0
Palestine,001907,001 ANDERSON,07,AA,5,3238,30,36,33,1,71.3,11,7,10,24,4,96.4,0.2,4.1,161,88.4,69,87,94,77,79,94,54,68,81,89,62,90,45,25.4,971,20.8,456,244,2,3,7,54,16,19,79005,64993,49158,41541,23,7.1,13.3,35,12.5,17.6,25.5,10,3,86,0,67,12,6,5,4,5,300385,1.549000,30972654,9480,43,44,13,3543711,14,32244054,28062212,8590,57,7,5,9,22,15915975,4872,53,18,17,1,4,1,4,2
Westwood,001908,001 ANDERSON,07,AA,4,1695,19,15,63,2,56,5,10,4,16,4,95.2,1.1,11.8,112,86.6,80,91,94,86,86,98,72,77,83,78,77,95,80.6,13.3,879,20.7,235,128,1,3,6,55,10,25,74491,58381,41721,39776,19,7.2,13.2,34.7,12.3,17.9,19.4,5,2,93,0,81,11,4,0,4,1,250987,1.040000,14216631,8082,58,36,6,4174651,28,14790080,11939723,6788,60,5,6,11,18,7135934,4057,60,15,13,1,2,4,4,1
Slocum,001909,001 ANDERSON,07,EX,2,410,3,3,93,1,47.6,1,12,1,37,6,96.3,0,10.7,23,85.7,82,94,.,89,91,96,60,40,83,.,76,100,52.9,33.3,971,22.8,61,38,3,3,3,63,6,21,67796,60427,44654,42828,2,6.8,10.8,23.6,14.5,3.9,0,0,0,97,3,72,15,3,0,11,0,236198,0.938000,3777495,9761,66,28,6,1681526,54,4098902,3243349,8381,64,7,5,8,17,2060247,5324,62,11,15,0,7,1,3,0
Andrews,002901,002 ANDREWS,18,RE,6,3134,2,62,35,1,48.8,11,9,9,18,4,95.3,0,11,172,83,74,87,92,84,84,95,75,69,82,69,66,84,42.2,16.9,931,19,462,230,2,1,6,50,11,30,97323,88650,66554,56547,30,6.8,13.6,20,15.1,17.5,6.6,0,14,84,1,69,7,10,3,4,7,1017625,1.199000,35461731,11381,23,70,7,12101343,27,39871652,31467845,10099,56,7,4,14,18,17682547,5675,61,16,11,1,4,2,5,1
Pineywoods Community Acad,003801,003 ANGELINA,07,RE,2,336,21,11,66,2,61.3,0,12,0,10,0,96.7,0,.,0,.,63,85,86,73,71,.,53,46,69,.,53,.,.,.,.,.,52,27,3,5,19,53,0,20,65662,61864,41896,40179,11,6.5,12.2,67.3,6.1,18.2,36,0,5,95,0,95,4,0,0,1,0,0,0.000000,2559331,8419,85,4,11,1312026,52,2653209,2544515,8370,60,8,8,10,13,1525193,5017,76,9,14,0,0,0,1,0
Hudson,003902,003 ANGELINA,07,RE,5,2595,5,19,75,1,56,6,7,6,23,5,96.5,0,6.7,138,90.6,88,95,96,94,92,99,76,81,90,89,82,96,63,22.7,964,18.7,358,176,1,3,7,49,5,34,92268,65923,48109,43074,12,7.3,14.8,28.9,12.5,12.5,12.6,1,2,97,1,60,10,4,10,5,11,123664,1.240000,23044631,9285,68,23,9,4419645,25,31887595,19036751,7670,56,5,6,13,21,10696115,4309,63,12,13,1,4,0,3,4
