SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOT2P,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT10R,DA0708DR10R,DADC410R,DAGC410R,DA0GR10N,DA311TA11R,DA311TR11R,DA311TW11R,DA311TM11R,DA311TC11R,DA311TS11R,DB311TA11R,DH311TA11R,DW311TA11R,DD311TA11R,DE311TA11R,DACTA11R,DA0CT10R,DA0CC10R,DA0CS10R,DA0CA10R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPAOTHP
Cayuga,001902,001 ANDERSON,07,RE,3,606,7,5,83,5,38.8,1,12,1,25,10,96.2,0,1.8,87.3,48,81,93,97,88,87,.,66,88,82,75,78,90,38.1,6.3,894,21.4,108,56,1,3,6,52,13,25,74632,65745,51713,42961,14,5.6,10.9,23.2,13.1,13.6,9.7,4,5,91,0,82,11,0,0,3,4,500399,1.040000,9947636,15840,34,39,27,1771622,31,10274708,8656932,13785,59,7,3,8,23,5139086,8183,40,48,5,0,3,0,3,1,0
Elkhart,001903,001 ANDERSON,07,AA,3,1325,6,7,84,3,53.4,1,8,1,25,4,95.9,0,2.4,96.4,81,81,95,93,89,82,96,56,71,82,79,74,91,50.8,18.8,989,21.3,183,104,2,3,5,57,14,19,70785,58396,44378,41681,8,7.2,12.8,19.1,14.2,14.8,9,1,3,95,1,70,11,10,0,7,2,184306,1.360000,12050525,8900,64,30,5,1063981,11,14947308,10426864,7701,61,7,4,9,19,6327172,4673,54,16,15,0,9,0,5,1,0
Frankston,001904,001 ANDERSON,07,AA,3,798,12,8,75,5,55.1,4,11,4,28,6,95.3,0,0,96.8,58,79,93,97,85,87,97,58,79,83,75,73,98,60.8,9.7,905,17.3,132,70,1,3,7,53,7,29,95800,67808,49272,41262,7,6.1,11.5,19.8,14.5,17,17.5,3,1,96,0,79,7,4,0,9,1,375583,1.040000,7877277,10324,50,42,8,728191,11,7706456,7447859,9761,57,8,5,10,20,4276369,5605,66,10,12,0,6,1,4,2,0
Neches,001906,001 ANDERSON,07,RE,2,370,8,9,80,3,42.7,1,13,1,31,9,96.2,0,0,100,28,82,94,91,87,93,.,67,70,85,67,76,80,54.5,33.3,920,.,52,31,2,4,5,60,4,25,83000,60101,43721,40306,6,7.1,11.8,35.1,10.3,3.2,26.7,3,0,97,0,80,8,2,0,8,2,263430,1.320000,3876562,10310,60,34,6,529562,17,4813526,3396907,9034,53,6,7,14,20,1800146,4788,69,16,9,0,6,0,0,0,0
Palestine,001907,001 ANDERSON,07,AA,6,3241,28,38,31,3,73.4,11,6,11,21,4,95.8,0,4.5,92.5,190,68,86,87,79,75,94,56,67,79,82,64,95,44.8,18.2,878,20.2,463,246,2,4,6,53,15,21,72278,64251,47446,41189,23,7,13.2,36.2,12.1,16.9,25.2,9,5,84,2,65,12,9,3,4,6,304478,1.549000,36042978,11131,38,46,15,4197116,16,52341895,29036814,8968,55,7,6,10,23,15909376,4913,55,18,14,1,4,1,4,1,2
Westwood,001908,001 ANDERSON,07,AA,4,1720,18,20,57,5,58.1,4,9,4,21,4,95.8,0,6,92,93,77,90,90,86,89,96,67,66,82,86,71,89,67.9,9.4,928,17.2,237,131,1,3,6,55,8,27,74491,59674,42687,39155,20,7.2,13.2,38,11.6,15.3,14.5,6,2,89,2,78,8,4,0,7,2,254637,1.170000,14688871,8666,55,38,7,2192419,16,14217083,12147511,7167,60,5,6,11,19,7225829,4263,56,15,13,2,3,5,4,1,1
Slocum,001909,001 ANDERSON,07,EX,2,404,2,5,89,4,49.3,1,12,1,38,6,96.6,0,0,93.3,28,87,96,95,93,91,93,.,82,86,.,84,87,47.4,11.1,939,.,61,38,3,3,3,63,0,27,69327,61677,45428,42943,0,6.7,10.5,23.3,13.5,3.9,6.6,0,0,100,0,78,10,2,1,9,0,249962,0.958000,4006500,9772,69,25,6,2088832,65,3695795,3391423,8272,65,6,5,8,16,2208646,5387,57,13,18,0,7,0,3,1,0
Andrews,002901,002 ANDREWS,18,AA,6,3242,2,63,32,2,49.3,10,8,12,17,4,94.9,0,7.4,86,194,73,86,90,85,77,94,51,68,83,73,65,90,32.9,25.5,946,22.9,461,236,2,2,6,51,10,30,101194,85052,65768,56502,33,7,13.8,21,14.7,17.5,8.1,0,16,77,7,71,7,10,2,4,6,1161422,1.178000,37282720,11896,32,59,8,8907687,20,37902817,32224722,10282,58,7,4,13,18,18622975,5942,57,16,13,1,4,2,5,1,1
Pineywoods Community Acad,003801,003 ANGELINA,07,AA,2,465,19,13,65,4,58.5,0,9,0,5,0,96.5,0,.,.,0,68,88,83,81,77,97,62,42,76,67,61,.,.,.,.,.,63,35,3,5,7,56,2,27,69000,52182,40874,43056,11,7.4,13.1,56.4,9.3,25.4,3.1,0,3,97,0,90,10,0,0,0,0,0,0.000000,3349458,9969,86,4,9,1521192,50,3203004,3097694,9219,63,8,7,8,14,1947556,5796,77,9,13,0,0,0,1,0,0
Hudson,003902,003 ANGELINA,07,AA,5,2654,5,21,71,4,56.5,6,7,6,22,6,96.5,0,2.3,94.3,165,85,94,94,91,91,98,64,78,87,92,78,96,70.5,21.8,980,21.8,348,181,1,3,9,52,5,29,94860,67825,48565,42679,13,7.6,14.7,30.9,12.4,13.2,11.9,1,2,94,3,65,8,1,9,4,13,136611,1.240000,24496654,9440,65,23,13,2517940,13,28129220,20036689,7721,55,5,6,13,21,11065330,4264,58,14,13,3,4,1,3,2,4
