SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT11R,DA0708DR11R,DADC4X11R,DA0GR11N,DAGC4X11R,DA00A001512R,DA00AR01512R,DA00AW01512R,DA00AM01512R,DA00AC01512R,DA00AS01512R,DB00A001512R,DH00A001512R,DW00A001512R,DI00A001512R,D300A001512R,D400A001512R,D200A001512R,DE00A001512R,DA0CT11R,DA0CC11R,DA0CS11R,DA0CA11R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPAOTHP
Cayuga,001902,001 ANDERSON,07,3,590,6,5,85,0,1,0,4,37.3,0,12,0,30,10,96.5,0,4.1,45,89.8,84,86,86,86,84,78,82,89,84,.,83,.,86,79,52.6,10,958,18.7,104,54,1,3,7,52,12,25,74932,66127,52088,44252,14,5.7,10.9,17.4,14.1,12,7.2,4,6,91,0,81,12,0,0,5,2,484912,1.040000,9827462,16217,36,38,25,1886482,33,8774759,8412152,13881,59,8,3,8,21,4982639,8222,39,49,6,0,3,0,3,1,0
Elkhart,001903,001 ANDERSON,07,4,1271,5,8,84,0,1,0,2,55.5,1,10,1,23,4,96.4,1.5,1.4,75,98.6,79,82,78,80,76,71,61,74,80,.,.,.,80,74,56.3,19.4,978,23.2,153,96,2,3,6,63,0,26,64669,59117,44406,40263,5,8.3,13.2,14.5,14.6,17.2,15,1,3,95,1,80,12,1,0,5,3,203723,1.360000,12066468,9107,64,31,5,1658365,19,26079449,10319494,7788,60,7,5,9,19,6218288,4693,60,15,11,0,6,0,5,3,0
Frankston,001904,001 ANDERSON,07,3,733,11,10,74,0,0,0,4,58,2,11,2,33,6,95.6,0,0,56,96.5,79,83,71,80,80,75,76,78,80,.,.,.,72,73,58.3,21.4,936,19.2,120,66,2,3,6,55,7,28,81325,67085,49446,42202,8,6.1,11.1,13.7,15.8,17.4,7.2,2,2,95,2,78,6,2,0,13,1,410410,1.040000,7570674,9487,50,43,7,958050,15,7433693,7401813,9275,56,7,5,11,21,4111833,5153,63,12,13,0,6,1,4,2,0
Neches,001906,001 ANDERSON,07,2,403,7,10,80,0,1,0,2,40.4,1,12,1,35,8,96.6,0,0,20,100,85,87,74,88,89,78,75,76,87,.,100,.,79,83,42.9,16.7,.,21.6,58,33,2,3,3,57,8,26,83000,61904,42910,41399,7,7,12.2,24.2,12.3,3,14.4,3,0,97,0,79,10,1,0,8,2,275312,1.364000,3975027,10743,58,37,6,279081,10,4104384,3315050,8960,54,7,7,12,20,1787325,4831,67,15,9,0,6,1,0,2,0
Palestine,001907,001 ANDERSON,07,6,3220,28,39,30,0,1,0,2,76.7,12,7,11,21,3,96.1,0,1.1,176,96.7,71,72,55,70,78,74,60,71,80,.,83,.,79,67,41.8,27.5,978,21.2,432,235,2,3,7,54,14,20,82331,64648,47463,42682,23,7.5,13.7,37.9,11.5,18.7,21.2,7,6,85,2,69,10,10,1,4,6,306490,1.566000,35349959,10907,39,48,14,4495766,19,67153909,28484639,8789,53,8,6,11,22,15180063,4684,53,18,17,1,4,1,5,1,2
Westwood,001908,001 ANDERSON,07,4,1717,18,19,58,0,1,0,4,60.9,4,9,4,23,3,95.7,0,4.1,94,94.9,78,80,71,76,80,85,71,71,83,.,95,.,74,73,82.9,10.3,898,19,213,121,1,3,6,57,9,24,78262,61520,43668,40990,17,8.1,14.2,32.1,12.3,17.4,18.4,6,2,88,5,75,10,6,0,7,2,256636,1.170000,15624328,9084,56,37,6,3759193,29,15893675,13108940,7621,58,5,7,10,19,7657914,4452,46,14,25,2,4,3,4,2,1
Slocum,001909,001 ANDERSON,07,2,431,1,5,89,1,0,0,4,49,1,12,1,38,6,96.3,0,0,20,100,82,84,85,75,93,81,.,77,83,.,.,.,71,79,58.8,20,989,.,58,37,3,3,3,64,0,25,69327,63162,46154,43578,2,7.4,11.5,16,15.1,4,13,0,3,97,0,77,10,3,0,9,0,253766,0.978000,4010288,9926,66,27,7,1876524,61,3502314,3342790,8274,65,6,5,8,16,2155884,5336,55,14,18,0,7,0,3,2,0
Andrews,002901,002 ANDREWS,18,6,3408,2,65,32,0,0,0,2,45.7,11,7,13,15,3,94.9,0,1.6,195,91.7,72,74,60,76,73,68,63,67,82,.,.,.,71,65,41.2,14.7,944,21,449,234,2,2,5,52,10,29,99229,87594,65461,55478,33,7.6,14.5,24.8,13.5,16.7,15.2,1,17,75,7,70,7,11,2,4,7,1219038,1.167000,38897456,11998,15,78,7,13479417,28,41040000,32395699,9993,57,7,5,13,18,18598157,5737,59,15,14,1,4,1,5,1,1
Pineywoods Community Acad,003801,003 ANGELINA,07,2,554,18,14,64,0,2,0,1,63.2,0,9,0,11,6,95.9,0,.,0,.,67,68,54,66,76,67,45,57,73,.,85,.,.,58,.,.,.,.,71,40,6,1,8,57,1,27,74223,35284,40754,43974,16,7.8,13.7,56.9,8.8,29.6,11.3,7,5,88,0,93,6,0,0,1,0,0,0.000000,4244401,9128,85,5,10,1810816,50,3896820,3790329,8151,63,10,8,7,11,2398113,5157,86,4,9,0,0,0,1,0,0
Hudson,003902,003 ANGELINA,07,5,2714,6,23,68,0,1,0,2,58.6,7,8,6,22,6,96.6,0.2,4,185,92,86,86,75,87,89,88,65,78,89,83,98,100,84,78,70.1,23.4,979,21.6,366,176,1,3,8,48,5,34,104519,66860,49633,43820,15,7.4,15.5,26.8,12.8,13.8,9.1,1,2,94,3,68,5,5,10,5,8,136821,1.240000,26317407,9916,66,22,12,2767901,15,26524543,20491847,7721,55,5,6,13,22,11226775,4230,49,14,15,2,4,8,3,2,4
