DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT12R,DA0912DR12R,DAGC4X12R,DAGC5X11R,DA0GR12N,DA0GH12N,DA00A001513R,DA00AR01513R,DA00AW01513R,DA00AM01513R,DA00AC01513R,DA00AS01513R,DB00A001513R,DH00A001513R,DW00A001513R,DI00A001513R,D300A001513R,D400A001513R,D200A001513R,DE00A001513R,DA0CT12R,DA0CC12R,DA0CSA12R,DA0CAA12R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
CAYUGA ISD,001902,001 ANDERSON,07,Met Standard,3,595,5.7,7.6,81,0,0.7,0,5,38.2,0.8,12.3,0.8,30.3,8.9,96.6,0.5,92.1,93.9,37,30,87,89,82,93,90,76,81,88,87,.,83,.,94,85,56.8,19,1483,20.2,106,54.2,1.4,2.8,6.6,51.2,10.9,27.1,76732,65818,53006,45082,13.1,5.6,11,12.9,15,12.6,9.8,3.7,5.5,90.8,0,83.7,9.9,0,0.7,5.8,0,513970,1.04,8015229,13585,33,44.1,22.9,1967981,0,8766638,7904770,13398,57.1,8.4,3.4,8.5,22.6,4512209,7648,43.8,43.9,4.9,0,3,0.2,3.3,0.8,0,0.1,500 to 999,Rural,"$478,896 to < $520,538",Under $1.1254
ELKHART ISD,001903,001 ANDERSON,07,Met Standard,4,1236,4.4,9.1,81.6,0.2,0.8,0.2,3.8,51.5,1.3,9.1,1.3,25.5,4.2,96.6,0.3,98.6,98.6,74,54,82,87,78,83,82,71,69,64,84,-1,95,100,82,75,50,16.2,1417,-1,155.8,96.6,1.9,3.2,4.9,62,10.1,17.9,78268,60167,45384,40536,4.5,7.9,12.8,24.1,12.7,13.9,19.7,1,3.1,94.8,1,79.9,12,0.6,0,5.6,2,192137,1.36,11424488,8989,59.3,33.8,6.9,2218878,0,12566602,9579531,7537,56.3,7.4,5.5,11.8,19,5391466,4242,61,15.2,10.5,0,6.2,0.2,5.8,1.2,0,0,"1,000 to 1,599",Non-metropolitan Stable,"$184,624 to < $200,659",$1.3593 and over
FRANKSTON ISD,001904,001 ANDERSON,07,Met Standard,3,751,10.5,10.5,74.2,0.3,0.3,0,4.3,59,1.9,10.8,1.9,35.2,3.5,96.1,0,100,100,56,50,81,86,64,84,81,78,74,78,82,100,100,.,76,75,50,25,1312,18.3,104.6,55.9,1.9,2.9,4.9,53.4,9.6,27.4,81325,69740,50489,42427,8.1,7.2,13.4,23.3,14.2,10.7,30.9,1.8,1.8,94.6,1.8,75.9,7,1.1,0,14.5,1.5,408889,1.04,7326232,9995,41.6,44.4,14,928988,0,8132673,6758460,9220,54.9,8.1,5.5,11.1,20.4,3707209,5058,59.1,12.6,12.3,0.2,7.1,0.4,5.5,1.5,1.4,0,500 to 999,Rural,"$401,088 to < $441,866",Under $1.1254
NECHES ISD,001906,001 ANDERSON,07,Met Standard,2,406,5.9,9.6,82.5,0,0.5,0,1.5,41.9,1,11.1,1,38.2,6.7,97.1,0,100,100,18,14,87,89,72,90,95,80,79,79,88,.,100,.,88,80,77.8,14.3,1284,19.9,59.7,34,1.7,3.3,3.3,56.9,10,24.7,87150,65000,44120,41691,8,6.8,11.9,29.4,12,2.9,12.1,2.9,0,97.1,0,80.2,8.6,1.4,0,8.2,1.6,241859,1.364,4167087,10340,54.7,38.8,6.4,600151,0,3700336,3352335,8318,53.5,7.6,7.2,13,18.7,1793057,4449,67.1,17.3,8.6,0.1,5.5,0.4,0,1,0,0,Under 500,Rural,"$234,604 to < $255,082",$1.3593 and over
PALESTINE ISD,001907,001 ANDERSON,07,Met Standard,6,3288,28.1,38.7,29.7,0.5,1,0.1,1.9,76.1,13.2,7.7,12.2,33,3.3,96.4,1.4,89.7,96.7,139,124,69,71,47,75,77,68,59,69,79,68,88,-1,75,66,30.2,16.7,1392,19.7,464,252.7,1.7,3.5,6,54.5,15.1,19.2,85662,67405,48718,42455,23.5,7.1,13,40.3,11.1,17.2,25.3,8.3,6.7,82.6,2.4,68.3,8.9,10.3,1.8,5.5,5.2,306463,1.566,34294815,10651,34.9,48.9,16.2,5364560,0,44636891,27584239,8567,52.2,8.6,5.4,11.6,22.2,14393233,4470,55.2,16.9,14.8,0.8,3.8,0.6,5.3,0.8,0.5,1.4,"3,000 to 4,999",Independent Town,"$290,480 to < $310,123",$1.3593 and over
WESTWOOD ISD,001908,001 ANDERSON,07,Met Standard,4,1619,16.6,21.1,56.7,0.4,0.6,0.1,4.6,61.9,4.9,9.3,4.5,18.7,2.7,95.9,0.6,94.2,94.9,102,78,73,76,55,75,80,70,67,69,76,100,74,-1,65,68,51,13.5,1417,20,216.9,123.2,1.8,3,5.9,56.8,11.2,21.3,83939,60196,45018,40148,18.1,7.5,13.1,40.3,11.2,14.6,24.9,7.3,3.2,86.2,3.2,76.3,10.9,5.3,0.3,5.7,1.5,255081,1.17,14776093,8606,51.9,39.1,9,3838334,0,12990435,12307022,7168,57.3,6.6,6.4,10.8,18.9,7056677,4110,49.7,13.9,18,3.4,4.7,3.5,4.3,1.5,0,1,"1,600 to 2,999",Non-metropolitan Stable,"$234,604 to < $255,082",$1.1254 to under $1.2321
SLOCUM ISD,001909,001 ANDERSON,07,Met Standard,2,439,1.1,5.2,89.3,0.2,0,0,4.1,45.1,0.5,10.9,0.5,38,4.8,97.3,0.8,96.6,100,28,20,82,88,64,81,85,87,-1,85,82,.,.,.,85,80,46.4,30.8,1571,23.7,59.1,37.3,3.4,3.4,3.4,63.1,0,26.8,70943,64503,43727,43179,0,7.4,11.8,27.5,12.9,2.7,17.3,0,0,100,0,79.5,10,0.8,0.4,9.4,0,234303,0.978,3976370,9226,62.4,29.4,8.2,2460232,0,3456617,3323388,7711,64,6.9,5.4,8,15.7,2125910,4933,55.8,13.3,17.3,0.4,8.8,0.3,2.9,1.2,0,0,Under 500,Rural,"$226,787 to < $234,604",Under $1.1254
ANDREWS ISD,002901,002 ANDREWS,18,Met Standard,6,3617,1.8,65.3,30.7,0.3,0.4,0,1.5,41.2,11,6.9,13.4,15.3,3.6,95.6,1.7,91.6,95.9,237,160,69,72,49,72,76,67,53,64,79,67,77,.,75,59,33.8,30,1495,20.8,454.5,240.1,1.5,1.6,4.9,52.8,11.4,27.7,102233,84479,67714,55613,33.2,8,15.1,25.8,13.2,18.2,13.5,0.4,19.4,74.4,5.8,70.9,6.4,10.9,1.7,3.2,7,1104850,1.167,37545848,11017,17.5,76.1,6.4,15953662,0,40895909,30590982,8976,57.8,7.4,3.4,12.9,18.5,17693196,5192,60,13.7,12.8,0.7,3.5,1.1,5.4,1,1.3,0.7,"3,000 to 4,999",Other Central City Suburban,"$678,171 to < $1,930,702",$1.1254 to under $1.2321
PINEYWOODS COMMUNITY ACADEMY,003801,003 ANGELINA,07,Met Standard,2,635,17.2,15.4,63.1,0,2.4,0.3,1.6,50.4,0,7.1,0,13.1,6.3,95.2,1.1,.,.,.,.,77,81,59,76,83,79,64,61,83,.,86,83,75,68,.,.,.,.,76.2,44.2,5.3,2.5,10.5,58,1,22.7,75346,51240,44383,43204,15.7,8.3,14.4,41,9,25,8.5,4.7,4.5,90.8,0,95.8,3.5,0,0,0.5,0.2,.,.,4673136,8435,84.3,5.1,10.7,0,1693617,4628184,4490922,8106,64,8.1,8.3,7.7,12,2871842,5184,81.1,6.7,10.7,0,0,0,1,0,0.5,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
HUDSON ISD,003902,003 ANGELINA,07,Met Standard,5,2726,5.7,23.1,68.2,0.4,1.1,0,1.5,54.7,6.5,7.2,6.2,22,5.9,96.7,1,92.4,92.9,154,122,86,88,68,89,89,89,67,80,89,100,98,-1,85,80,53.9,20.5,1410,20.7,376.4,182.5,0.5,4,7.5,48.5,6.4,33.1,114253,66522,50080,43907,15.2,7.2,14.9,25.2,13.5,18.5,8.5,1.1,2.7,93,3.1,71,3.3,3.1,10,5.2,7.3,133591,1.24,25596720,9431,64,24.9,11.2,4488497,0,23099126,20372883,7507,55.3,4.6,6.3,12.3,21.6,11268150,4152,49.8,14.5,15.1,0.9,4.6,5.4,2.9,1,1.8,4,"1,600 to 2,999",Non-metropolitan Stable,"$100,904 to < $148,669",$1.2321 to under $1.3593
